PropertyID,Name,Segment,Region,Stage,MonthlyRevenue,BuildTimeWeeks,ProjectedPenetrationTimeWeeks,ChurnRisk,UpgradePotential,ContactsAvailable
COM-0001,Commercial Property 1,Commercial,West,Negotiation,2459,6,6,High,High,5
COM-0002,Commercial Property 2,Commercial,East,Lead,3881,14,6,Medium,High,4
COM-0003,Commercial Property 3,Commercial,East,Proposal,1606,19,22,Medium,Moderate,4
COM-0004,Commercial Property 4,Commercial,South,Negotiation,3779,8,9,Low,High,5
COM-0005,Commercial Property 5,Commercial,East,Negotiation,1126,11,29,Low,Moderate,4
COM-0006,Commercial Property 6,Commercial,South,Closed Won,3123,5,19,High,Moderate,5
COM-0007,Commercial Property 7,Commercial,North,Negotiation,2557,19,15,Medium,None,3
COM-0008,Commercial Property 8,Commercial,East,Proposal,4807,11,12,Low,Moderate,2
COM-0009,Commercial Property 9,Commercial,North,Qualified,2697,16,25,High,None,4
COM-0010,Commercial Property 10,Commercial,West,Closed Lost,4397,14,21,Low,Moderate,2
COM-0011,Commercial Property 11,Commercial,East,Lead,982,19,17,Low,Moderate,2
COM-0012,Commercial Property 12,Commercial,East,Lead,4899,15,16,Medium,High,3
COM-0013,Commercial Property 13,Commercial,East,Qualified,2987,19,10,High,None,3
COM-0014,Commercial Property 14,Commercial,North,Proposal,2153,12,30,Medium,Moderate,3
COM-0015,Commercial Property 15,Commercial,West,Closed Lost,2923,3,22,Low,None,3
COM-0016,Commercial Property 16,Commercial,East,Closed Lost,2869,17,12,Medium,None,1
COM-0017,Commercial Property 17,Commercial,South,Closed Lost,3351,6,16,Low,Moderate,4
COM-0018,Commercial Property 18,Commercial,West,Closed Lost,1849,3,9,Low,Moderate,1
COM-0019,Commercial Property 19,Commercial,West,Qualified,4487,3,9,Low,High,3
COM-0020,Commercial Property 20,Commercial,East,Closed Lost,645,19,12,Medium,Moderate,2
COM-0021,Commercial Property 21,Commercial,South,Negotiation,607,14,30,High,Moderate,2
COM-0022,Commercial Property 22,Commercial,South,Closed Lost,3318,11,10,High,High,2
COM-0023,Commercial Property 23,Commercial,West,Closed Won,3681,16,23,Medium,High,2
COM-0024,Commercial Property 24,Commercial,North,Closed Lost,4827,19,25,Medium,High,4
COM-0025,Commercial Property 25,Commercial,West,Closed Won,1941,17,5,Medium,High,5
COM-0026,Commercial Property 26,Commercial,North,Closed Lost,1739,20,11,Low,Moderate,3
COM-0027,Commercial Property 27,Commercial,West,Qualified,2436,7,10,Low,None,5
COM-0028,Commercial Property 28,Commercial,West,Proposal,3969,15,12,High,Moderate,5
COM-0029,Commercial Property 29,Commercial,South,Closed Lost,1900,14,20,Medium,High,3
COM-0030,Commercial Property 30,Commercial,North,Lead,4566,3,25,Medium,High,4
COM-0031,Commercial Property 31,Commercial,North,Closed Lost,2426,4,28,Low,Moderate,4
COM-0032,Commercial Property 32,Commercial,West,Lead,1033,7,26,Medium,None,5
COM-0033,Commercial Property 33,Commercial,West,Negotiation,3165,18,7,High,High,5
COM-0034,Commercial Property 34,Commercial,North,Lead,1213,7,29,Low,Moderate,1
COM-0035,Commercial Property 35,Commercial,South,Closed Lost,2719,10,30,Low,High,5
COM-0036,Commercial Property 36,Commercial,East,Negotiation,4080,19,25,High,Moderate,2
COM-0037,Commercial Property 37,Commercial,East,Negotiation,4229,4,27,Low,Moderate,3
COM-0038,Commercial Property 38,Commercial,North,Qualified,4212,6,9,High,None,1
COM-0039,Commercial Property 39,Commercial,South,Closed Won,987,10,25,High,High,3
COM-0040,Commercial Property 40,Commercial,West,Lead,3296,14,8,High,Moderate,3
COM-0041,Commercial Property 41,Commercial,East,Lead,4471,13,19,Low,None,3
COM-0042,Commercial Property 42,Commercial,North,Lead,2857,11,26,Low,Moderate,2
COM-0043,Commercial Property 43,Commercial,North,Qualified,1775,6,16,High,Moderate,1
COM-0044,Commercial Property 44,Commercial,West,Negotiation,2810,13,9,High,High,3
COM-0045,Commercial Property 45,Commercial,West,Closed Won,1503,19,29,High,High,2
COM-0046,Commercial Property 46,Commercial,West,Closed Won,1703,11,29,Low,High,1
COM-0047,Commercial Property 47,Commercial,South,Negotiation,3904,4,12,Low,High,4
COM-0048,Commercial Property 48,Commercial,South,Closed Won,1188,8,12,Low,High,3
COM-0049,Commercial Property 49,Commercial,West,Closed Lost,2536,10,20,Medium,None,2
COM-0050,Commercial Property 50,Commercial,East,Lead,4880,14,27,Low,Moderate,1
COM-0051,Commercial Property 51,Commercial,South,Closed Lost,4268,6,19,Low,None,2
COM-0052,Commercial Property 52,Commercial,West,Qualified,2668,8,16,Medium,Moderate,5
COM-0053,Commercial Property 53,Commercial,West,Qualified,4137,10,25,Medium,None,3
COM-0054,Commercial Property 54,Commercial,South,Closed Won,3214,10,14,High,None,4
COM-0055,Commercial Property 55,Commercial,West,Proposal,3543,10,11,High,None,3
COM-0056,Commercial Property 56,Commercial,West,Qualified,3337,16,28,Medium,High,4
COM-0057,Commercial Property 57,Commercial,West,Lead,4532,9,18,Medium,High,2
COM-0058,Commercial Property 58,Commercial,West,Qualified,629,10,5,High,None,1
COM-0059,Commercial Property 59,Commercial,North,Lead,906,14,30,High,Moderate,1
COM-0060,Commercial Property 60,Commercial,East,Closed Won,1562,5,13,Low,Moderate,4
COM-0061,Commercial Property 61,Commercial,South,Closed Lost,4751,20,26,Low,Moderate,2
COM-0062,Commercial Property 62,Commercial,North,Qualified,3028,16,10,High,None,4
COM-0063,Commercial Property 63,Commercial,West,Proposal,1837,14,30,Low,Moderate,2
COM-0064,Commercial Property 64,Commercial,South,Proposal,3573,12,14,Medium,None,2
COM-0065,Commercial Property 65,Commercial,South,Closed Lost,3164,15,6,Medium,High,4
COM-0066,Commercial Property 66,Commercial,East,Lead,665,11,25,Medium,High,4
COM-0067,Commercial Property 67,Commercial,North,Proposal,2115,18,9,Low,High,1
COM-0068,Commercial Property 68,Commercial,East,Negotiation,3810,6,19,Medium,Moderate,2
COM-0069,Commercial Property 69,Commercial,South,Closed Lost,4400,20,30,Medium,High,2
COM-0070,Commercial Property 70,Commercial,South,Qualified,563,4,25,Low,High,4
COM-0071,Commercial Property 71,Commercial,East,Closed Won,1104,4,30,Medium,Moderate,4
COM-0072,Commercial Property 72,Commercial,South,Closed Lost,1739,8,8,Medium,High,2
COM-0073,Commercial Property 73,Commercial,North,Qualified,2625,16,18,Low,High,2
COM-0074,Commercial Property 74,Commercial,South,Closed Won,4571,3,15,High,High,2
COM-0075,Commercial Property 75,Commercial,East,Qualified,2029,19,16,Medium,None,3
COM-0076,Commercial Property 76,Commercial,South,Lead,2822,7,24,Low,None,5
COM-0077,Commercial Property 77,Commercial,North,Closed Lost,973,12,24,Medium,High,1
COM-0078,Commercial Property 78,Commercial,East,Lead,4969,12,17,High,Moderate,4
COM-0079,Commercial Property 79,Commercial,West,Proposal,1548,20,28,Low,None,2
COM-0080,Commercial Property 80,Commercial,East,Qualified,2516,14,30,Low,Moderate,3
COM-0081,Commercial Property 81,Commercial,West,Proposal,2984,16,21,Medium,High,5
COM-0082,Commercial Property 82,Commercial,West,Negotiation,3020,4,7,Medium,None,3
COM-0083,Commercial Property 83,Commercial,East,Lead,1499,14,13,High,None,2
COM-0084,Commercial Property 84,Commercial,North,Lead,3046,8,17,Low,Moderate,4
COM-0085,Commercial Property 85,Commercial,South,Closed Lost,3549,19,6,High,None,4
COM-0086,Commercial Property 86,Commercial,South,Proposal,4732,3,10,Low,High,5
COM-0087,Commercial Property 87,Commercial,West,Lead,3795,5,24,High,Moderate,1
COM-0088,Commercial Property 88,Commercial,North,Negotiation,1742,9,13,Low,None,1
COM-0089,Commercial Property 89,Commercial,West,Negotiation,4359,19,14,Low,High,2
COM-0090,Commercial Property 90,Commercial,North,Negotiation,1713,7,15,Medium,Moderate,5
COM-0091,Commercial Property 91,Commercial,West,Closed Lost,2810,20,13,Low,Moderate,1
COM-0092,Commercial Property 92,Commercial,West,Qualified,1391,6,24,Low,None,5
COM-0093,Commercial Property 93,Commercial,East,Closed Won,4845,20,20,Low,None,3
COM-0094,Commercial Property 94,Commercial,East,Lead,2356,16,26,Low,Moderate,4
COM-0095,Commercial Property 95,Commercial,West,Closed Lost,2441,3,11,Medium,None,2
COM-0096,Commercial Property 96,Commercial,East,Proposal,3731,20,16,Low,None,3
COM-0097,Commercial Property 97,Commercial,South,Negotiation,3602,5,23,Medium,High,1
COM-0098,Commercial Property 98,Commercial,East,Proposal,2230,18,21,Medium,None,5
COM-0099,Commercial Property 99,Commercial,North,Negotiation,3291,7,18,Low,Moderate,2
COM-0100,Commercial Property 100,Commercial,West,Negotiation,924,5,10,Low,Moderate,5
COM-0101,Commercial Property 101,Commercial,West,Proposal,4126,9,6,Medium,High,2
COM-0102,Commercial Property 102,Commercial,North,Qualified,3568,10,6,Low,Moderate,4
COM-0103,Commercial Property 103,Commercial,North,Lead,1093,8,30,High,Moderate,3
