PropertyID,Name,Segment,Region,Stage,MonthlyRevenue,BuildTimeWeeks,ProjectedPenetrationTimeWeeks,ChurnRisk,UpgradePotential,ContactsAvailable
RES-0001,Residential Property 1,Residential,South,Closed Won,4165,17,18,Medium,Moderate,2
RES-0002,Residential Property 2,Residential,East,Lead,3994,13,21,Medium,None,5
RES-0003,Residential Property 3,Residential,West,Negotiation,1402,7,21,Medium,High,3
RES-0004,Residential Property 4,Residential,South,Negotiation,4775,5,23,Low,None,3
RES-0005,Residential Property 5,Residential,East,Negotiation,4316,19,15,Medium,Moderate,3
RES-0006,Residential Property 6,Residential,North,Qualified,3159,4,8,Low,None,3
RES-0007,Residential Property 7,Residential,East,Closed Lost,1798,11,28,High,High,5
RES-0008,Residential Property 8,Residential,West,Proposal,2988,4,7,High,High,3
RES-0009,Residential Property 9,Residential,South,Lead,3619,20,30,Low,Moderate,1
RES-0010,Residential Property 10,Residential,East,Lead,4120,8,18,Low,High,3
RES-0011,Residential Property 11,Residential,East,Negotiation,4618,16,11,Low,High,1
RES-0012,Residential Property 12,Residential,South,Lead,3665,12,22,Medium,None,1
RES-0013,Residential Property 13,Residential,North,Closed Lost,4369,19,27,Medium,High,2
RES-0014,Residential Property 14,Residential,West,Closed Lost,2871,8,17,Medium,None,5
RES-0015,Residential Property 15,Residential,South,Closed Lost,1834,4,17,High,Moderate,1
RES-0016,Residential Property 16,Residential,West,Proposal,4278,5,6,Low,Moderate,1
RES-0017,Residential Property 17,Residential,South,Qualified,1300,13,20,Low,None,5
RES-0018,Residential Property 18,Residential,West,Lead,3158,12,22,Low,None,4
RES-0019,Residential Property 19,Residential,East,Closed Won,1638,20,14,Low,Moderate,5
RES-0020,Residential Property 20,Residential,East,Closed Won,3679,15,25,Low,None,2
RES-0021,Residential Property 21,Residential,North,Closed Won,707,10,5,High,High,2
RES-0022,Residential Property 22,Residential,West,Proposal,4450,19,9,Low,Moderate,4
RES-0023,Residential Property 23,Residential,North,Qualified,1437,20,8,Low,Moderate,1
RES-0024,Residential Property 24,Residential,East,Lead,912,17,18,Low,Moderate,5
RES-0025,Residential Property 25,Residential,South,Qualified,1789,9,22,Low,Moderate,1
RES-0026,Residential Property 26,Residential,West,Closed Won,4215,6,22,High,High,2
RES-0027,Residential Property 27,Residential,East,Closed Lost,1653,17,27,Low,None,4
RES-0028,Residential Property 28,Residential,North,Lead,4334,10,5,High,None,2
RES-0029,Residential Property 29,Residential,North,Closed Lost,779,14,25,Low,High,4
RES-0030,Residential Property 30,Residential,South,Closed Won,4314,19,6,High,Moderate,5
RES-0031,Residential Property 31,Residential,East,Negotiation,863,6,17,Medium,None,3
RES-0032,Residential Property 32,Residential,East,Closed Lost,2259,15,22,Medium,None,1
RES-0033,Residential Property 33,Residential,North,Closed Lost,4252,19,11,Medium,Moderate,5
RES-0034,Residential Property 34,Residential,West,Closed Won,4622,15,15,Low,High,3
RES-0035,Residential Property 35,Residential,North,Lead,3962,13,16,Low,Moderate,4
RES-0036,Residential Property 36,Residential,North,Qualified,3193,7,24,Medium,Moderate,3
RES-0037,Residential Property 37,Residential,South,Proposal,828,6,23,Medium,High,3
RES-0038,Residential Property 38,Residential,North,Proposal,2872,5,25,Medium,Moderate,2
RES-0039,Residential Property 39,Residential,North,Qualified,3352,18,18,Medium,None,5
RES-0040,Residential Property 40,Residential,North,Closed Won,3000,3,5,Low,Moderate,5
